V1,V2,V3,V4,V5,V6,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1000.0,5000.0,0,0.0,0,False,0,1,2,,,0.61,0.39,,
1047.0,4551.0,1,0.92,1,False,1,3,,,,1.0,,,
1096.0,4142.0,1,0.92,2,False,3,4,,,,1.0,,,
1146.0,3770.0,1,0.92,3,False,4,,,,,,,,
948.0,5028.0,1,1.0,1,False,2,5,6,,,0.45,0.55,,
993.0,4577.0,1,0.92,2,False,5,7,,,,1.0,,,
1040.0,4166.0,1,0.92,3,False,7,8,9,,,0.07,0.93,,
1088.0,3792.0,1,0.92,4,False,8,10,11,,,0.94,0.06,,
1138.0,3452.0,1,0.92,5,False,10,12,13,,,0.18,0.82,,
1189.0,3142.0,1,0.84,6,False,12,,,,,,,,
1077.0,3471.0,1,0.94,6,False,13,14,15,,,0.18,0.82,,
1126.0,3159.0,1,0.92,7,False,14,16,,,,1.0,,,
1176.0,2875.0,1,0.92,8,False,16,,,,,,,,
1020.0,3490.0,1,1.0,7,False,15,17,,,,1.0,,,
1067.0,3177.0,1,0.92,8,False,17,18,,,,1.0,,,
1115.0,2892.0,1,0.92,9,False,18,19,20,,,0.36,0.64,,
1165.0,2632.0,1,0.92,10,False,19,,,,,,,,
1055.0,2908.0,1,1.0,10,False,20,21,22,,,0.12,0.88,,
1103.0,2647.0,1,0.92,11,False,21,23,24,,,0.04,0.96,,
1152.0,2409.0,1,0.92,12,False,23,,,,,,,,
1044.0,2662.0,1,1.0,12,False,24,25,,,,1.0,,,
1091.0,2423.0,1,0.92,13,False,25,26,,,,1.0,,,
1140.0,2205.0,1,0.92,14,False,26,27,28,,,0.55,0.45,,
1190.0,2007.0,1,0.82,15,False,27,,,,,,,,
1078.0,2217.0,1,0.92,15,False,28,29,30,,,0.08,0.92,,
1126.0,2018.0,1,0.92,16,True,29,,,,,,,,
1020.0,2229.0,1,1.0,16,True,30,,,,,,,,
999.0,2924.0,1,1.0,11,False,22,31,32,,,0.23,0.77,,
1045.0,2662.0,1,0.92,12,False,31,33,,,,1.0,,,
1092.0,2423.0,1,0.92,13,False,33,34,35,,,0.46,0.54,,
1141.0,2205.0,1,0.92,14,False,34,,,,,,,,
1033.0,2436.0,1,1.0,14,False,35,36,,,,1.0,,,
1080.0,2217.0,1,0.92,15,False,36,37,,,,1.0,,,
1128.0,2018.0,1,0.92,16,True,37,,,,,,,,
947.0,2940.0,1,1.0,12,False,32,38,39,,,0.49,0.51,,
991.0,2676.0,1,0.92,13,False,38,40,41,,,0.87,0.13,,
1037.0,2436.0,1,0.92,14,False,40,42,43,,,0.51,0.49,,
1084.0,2217.0,1,0.92,15,False,42,44,,,,1.0,,,
1132.0,2018.0,1,0.92,16,True,44,,,,,,,,
982.0,2449.0,1,1.0,15,False,43,45,46,,,0.69,0.31,,
1027.0,2229.0,1,0.92,16,True,45,,,,,,,,
931.0,2463.0,1,1.0,16,True,46,,,,,,,,
939.0,2691.0,1,1.0,14,False,41,47,48,,,0.98,0.02,,
983.0,2449.0,1,0.92,15,False,47,49,50,,,0.57,0.43,,
1028.0,2229.0,1,0.92,16,True,49,,,,,,,,
932.0,2463.0,1,1.0,16,True,50,,,,,,,,
891.0,2706.0,1,1.0,15,False,48,51,52,,,0.52,0.48,,
933.0,2463.0,1,0.92,16,True,51,,,,,,,,
846.0,2721.0,1,1.0,16,True,52,,,,,,,,
898.0,2956.0,1,1.0,13,False,39,53,54,,,0.48,0.52,,
941.0,2691.0,1,0.92,14,False,53,55,56,,,0.54,0.46,,
985.0,2449.0,1,0.92,15,False,55,57,,,,1.0,,,
1030.0,2229.0,1,0.92,16,True,57,,,,,,,,
892.0,2706.0,1,1.0,15,False,56,58,59,,,0.4,0.6,,
934.0,2463.0,1,0.92,16,True,58,,,,,,,,
847.0,2721.0,1,1.0,16,True,59,,,,,,,,
852.0,2972.0,1,1.0,14,False,54,60,61,,,0.59,0.41,,
893.0,2705.0,1,0.92,15,False,60,62,,,,1.0,,,
935.0,2462.0,1,0.92,16,True,62,,,,,,,,
809.0,2988.0,1,1.0,15,False,61,63,,,,1.0,,,
849.0,2720.0,1,0.92,16,True,63,,,,,,,,
1031.0,3813.0,1,1.0,5,False,11,64,65,,,0.56,0.44,,
1079.0,3471.0,1,0.92,6,False,64,66,,,,1.0,,,
1128.0,3159.0,1,0.92,7,False,66,67,68,,,0.6,0.4,,
1178.0,2875.0,1,0.92,8,False,67,,,,,,,,
1068.0,3176.0,1,1.0,8,False,68,69,70,,,0.6,0.4,,
1117.0,2891.0,1,0.92,9,False,69,71,72,,,0.71,0.29,,
1167.0,2631.0,1,0.92,10,False,71,,,,,,,,
1057.0,2907.0,1,1.0,10,False,72,73,74,,,0.08,0.92,,
1105.0,2646.0,1,0.92,11,False,73,75,,,,1.0,,,
1154.0,2408.0,1,0.92,12,False,75,,,,,,,,
1001.0,2923.0,1,1.0,11,False,74,76,77,,,0.55,0.45,,
1047.0,2661.0,1,0.92,12,False,76,78,,,,1.0,,,
1095.0,2422.0,1,0.92,13,False,78,79,,,,1.0,,,
1144.0,2205.0,1,0.92,14,False,79,,,,,,,,
949.0,2939.0,1,1.0,12,False,77,80,,,,1.0,,,
993.0,2675.0,1,0.92,13,False,80,81,82,,,0.09,0.91,,
1039.0,2435.0,1,0.92,14,False,81,83,,,,1.0,,,
1086.0,2216.0,1,0.92,15,False,83,84,,,,1.0,,,
1134.0,2017.0,1,0.92,16,True,84,,,,,,,,
941.0,2690.0,1,1.0,14,False,82,55,85,,,0.61,0.39,,
985.0,2449.0,1,0.92,15,False,55,57,,,,1.0,,,
1030.0,2229.0,1,0.92,16,True,57,,,,,,,,
892.0,2705.0,1,1.0,15,False,85,86,,,,1.0,,,
934.0,2462.0,1,0.92,16,True,86,,,,,,,,
1012.0,3194.0,1,1.0,9,False,70,87,,,,1.0,,,
1059.0,2907.0,1,0.92,10,False,87,88,,,,1.0,,,
1107.0,2646.0,1,0.92,11,False,88,89,,,,1.0,,,
1156.0,2408.0,1,0.92,12,False,89,,,,,,,,
977.0,3834.0,1,1.0,6,False,65,90,91,,,0.57,0.43,,
1023.0,3490.0,1,0.92,7,False,90,92,93,,,0.61,0.39,,
1070.0,3177.0,1,0.92,8,False,92,94,95,,,0.64,0.36,,
1119.0,2892.0,1,0.92,9,False,94,96,97,,,0.26,0.74,,
1169.0,2632.0,1,0.92,10,False,96,,,,,,,,
1059.0,2908.0,1,1.0,10,False,97,98,,,,1.0,,,
1107.0,2647.0,1,0.92,11,False,98,99,,,,1.0,,,
1156.0,2409.0,1,0.92,12,False,99,,,,,,,,
1013.0,3195.0,1,1.0,9,False,95,100,,,,1.0,,,
1060.0,2908.0,1,0.92,10,False,100,101,102,,,0.5,0.5,,
1108.0,2647.0,1,0.92,11,False,101,103,104,,,0.39,0.61,,
1157.0,2409.0,1,0.92,12,False,103,,,,,,,,
1049.0,2662.0,1,1.0,12,False,104,105,106,,,0.44,0.56,,
1097.0,2423.0,1,0.92,13,False,105,107,,,,1.0,,,
1146.0,2205.0,1,0.92,14,False,107,,,,,,,,
993.0,2677.0,1,1.0,13,False,106,108,109,,,0.54,0.46,,
1039.0,2437.0,1,0.92,14,False,108,110,111,,,0.96,0.04,,
1086.0,2218.0,1,0.92,15,False,110,112,,,,1.0,,,
1134.0,2019.0,1,0.92,16,True,112,,,,,,,,
984.0,2450.0,1,1.0,15,False,111,113,114,,,0.51,0.49,,
1029.0,2230.0,1,0.92,16,True,113,,,,,,,,
933.0,2464.0,1,1.0,16,True,114,,,,,,,,
941.0,2692.0,1,1.0,14,False,109,115,116,,,0.5,0.5,,
985.0,2450.0,1,0.92,15,False,115,117,118,,,0.96,0.04,,
1030.0,2230.0,1,0.92,16,True,117,,,,,,,,
934.0,2464.0,1,1.0,16,True,118,,,,,,,,
892.0,2707.0,1,1.0,15,False,116,119,,,,1.0,,,
934.0,2464.0,1,0.92,16,True,119,,,,,,,,
1004.0,2924.0,1,1.0,11,False,102,120,,,,1.0,,,
1050.0,2662.0,1,0.92,12,False,120,121,,,,1.0,,,
1098.0,2423.0,1,0.92,13,False,121,122,,,,1.0,,,
1147.0,2205.0,1,0.92,14,False,122,,,,,,,,
970.0,3509.0,1,1.0,8,False,93,123,124,,,0.53,0.47,,
1015.0,3194.0,1,0.92,9,False,123,125,,,,1.0,,,
1062.0,2907.0,1,0.92,10,False,125,126,127,,,0.78,0.22,,
1110.0,2646.0,1,0.92,11,False,126,128,129,,,0.61,0.39,,
1159.0,2408.0,1,0.92,12,False,128,,,,,,,,
