Wall time,Step,Value
1743545463.6448908,20480,-109.03965759277344
1743545471.717549,40960,-90.3960952758789
1743545479.788857,61440,-82.53364562988281
1743545487.854335,81920,-82.96634674072266
1743545495.947711,102400,-74.24365997314453
1743545503.5519218,122880,-76.2228775024414
1743545511.6347,143360,-88.39554595947266
1743545520.2286808,163840,-104.45931243896484
1743545528.1701329,184320,-109.02574920654297
1743545536.1399019,204800,-117.89351654052734
1743545543.846743,225280,-122.82320404052734
1743545551.548121,245760,-125.39925384521484
1743545559.737534,266240,-131.26229858398438
1743545568.302541,286720,-136.5604705810547
1743545576.3591921,307200,-139.06350708007812
1743545584.164973,327680,-141.844970703125
1743545592.072449,348160,-138.13156127929688
1743545599.6358469,368640,-134.03671264648438
1743545607.3166442,389120,-128.46458435058594
1743545614.9016461,409600,-119.30945587158203
1743545624.059018,430080,-110.47305297851562
1743545633.461109,450560,-102.68970489501953
1743545641.514494,471040,-97.21353912353516
1743545650.147417,491520,-101.72373962402344
1743545658.4311628,512000,-105.58110046386719
1743545666.5360599,532480,-109.50202178955078
1743545675.008679,552960,-116.1685562133789
1743545683.328924,573440,-120.90735626220703
1743545690.847449,593920,-117.95025634765625
1743545698.356982,614400,-108.7198715209961
1743545705.864001,634880,-102.40306854248047
1743545713.67053,655360,-102.04589080810547
1743545721.409703,675840,-104.30001831054688
1743545729.267637,696320,-105.74066162109375
1743545737.294909,716800,-105.26533508300781
1743545745.4229188,737280,-100.03266143798828
1743545753.053937,757760,-102.05397033691406
1743545760.689861,778240,-103.4987564086914
1743545768.216776,798720,-110.37984466552734
1743545775.695601,819200,-116.69097137451172
1743545783.138517,839680,-115.0050277709961
1743545790.65593,860160,-114.35821533203125
1743545798.168302,880640,-108.53982543945312
1743545805.5885801,901120,-103.40328979492188
1743545812.988571,921600,-101.53196716308594
1743545820.3952472,942080,-105.18653869628906
1743545827.86642,962560,-105.6821517944336
1743545835.2860081,983040,-105.10405731201172
1743545842.708143,1003520,-102.4040756225586
1743545850.147079,1024000,-98.08692169189453
1743545857.5485,1044480,-95.962890625
1743545864.953119,1064960,-100.88998413085938
1743545872.355566,1085440,-104.71453094482422
1743545879.770972,1105920,-110.21609497070312
1743545887.215322,1126400,-109.3892593383789
1743545894.727145,1146880,-108.28333282470703
1743545902.3199701,1167360,-102.7376480102539
1743545910.1105542,1187840,-103.22296905517578
1743545917.771242,1208320,-109.2315673828125
1743545925.257515,1228800,-115.89382934570312
1743545933.084817,1249280,-119.0439453125
1743545941.443279,1269760,-120.47455596923828
1743545949.3637178,1290240,-120.80962371826172
1743545957.858905,1310720,-126.41561889648438
1743545965.552199,1331200,-123.57149505615234
1743545974.0784209,1351680,-123.45330047607422
1743545982.6248791,1372160,-122.40630340576172
1743545991.070959,1392640,-118.61870574951172
1743545999.576843,1413120,-121.10798645019531
1743546007.2951,1433600,-118.47278594970703
1743546015.183809,1454080,-114.28382110595703
1743546023.242273,1474560,-107.64986419677734
1743546031.796223,1495040,-112.3129653930664
1743546039.708006,1515520,-111.29861450195312
1743546047.541091,1536000,-109.89012908935547
1743546056.058646,1556480,-114.91320037841797
1743546064.333441,1576960,-109.50880432128906
1743546072.7361689,1597440,-107.99534606933594
1743546080.9640288,1617920,-107.16907501220703
1743546089.4479449,1638400,-109.02723693847656
1743546097.5333529,1658880,-112.93045043945312
1743546105.684744,1679360,-117.1477279663086
1743546113.9168792,1699840,-121.86607360839844
1743546122.286241,1720320,-119.41312408447266
1743546130.375645,1740800,-115.86453247070312
1743546138.673855,1761280,-112.91121673583984
1743546147.009036,1781760,-107.86416625976562
1743546155.432211,1802240,-105.58793640136719
1743546163.983986,1822720,-108.07970428466797
1743546172.321425,1843200,-108.80876922607422
1743546180.1024709,1863680,-115.30658721923828
1743546187.8409731,1884160,-119.02255249023438
1743546195.46676,1904640,-121.87828063964844
1743546202.929863,1925120,-122.41878509521484
1743546210.628756,1945600,-122.05162811279297
1743546218.107845,1966080,-122.01448822021484
1743546225.5217779,1986560,-119.67500305175781
1743546240.534543,2021376,-114.07345581054688
1743546248.587234,2041856,-114.35801696777344
1743546256.257298,2062336,-118.48045349121094
1743546264.375778,2082816,-118.19036865234375
1743546272.101158,2103296,-114.36431121826172
1743546279.833725,2123776,-109.44340515136719
1743546287.500511,2144256,-103.4178466796875
1743546295.4706419,2164736,-100.82610321044922
1743546303.1959848,2185216,-98.72821044921875
1743546310.890174,2205696,-96.3324203491211
1743546318.581173,2226176,-97.53195190429688
1743546326.715935,2246656,-97.04828643798828
1743546334.783392,2267136,-96.30937957763672
1743546342.826036,2287616,-99.17488861083984
1743546350.782668,2308096,-104.80675506591797
1743546358.2722108,2328576,-108.37627410888672
1743546365.830194,2349056,-111.60427856445312
1743546373.201002,2369536,-115.27837371826172
1743546380.566551,2390016,-117.33058166503906
1743546387.961344,2410496,-115.62240600585938
1743546395.538452,2430976,-116.26263427734375
1743546402.908731,2451456,-119.00489044189453
1743546410.317835,2471936,-117.39339447021484
1743546417.724833,2492416,-117.80543518066406
1743546425.152569,2512896,-118.67878723144531
1743546432.608918,2533376,-119.35304260253906
1743546440.018316,2553856,-120.99607849121094
1743546447.509347,2574336,-120.9413070678711
1743546454.899798,2594816,-123.82341766357422
1743546462.56986,2615296,-123.3588638305664
1743546470.129534,2635776,-116.11764526367188
1743546478.085535,2656256,-111.73807525634766
1743546485.744732,2676736,-108.69782257080078
1743546493.376172,2697216,-105.67718505859375
1743546500.93767,2717696,-106.75882720947266
1743546508.514077,2738176,-102.1624755859375
1743546516.3025541,2758656,-98.93093872070312
1743546523.960684,2779136,-100.13746643066406
1743546531.7219388,2799616,-103.59201049804688
1743546539.492862,2820096,-102.7918472290039
1743546546.9604878,2840576,-105.97795104980469
1743546554.7614489,2861056,-105.59304809570312
1743546562.5599449,2881536,-106.60680389404297
1743546570.568589,2902016,-110.1792221069336
1743546578.455604,2922496,-111.4314956665039
1743546586.328792,2942976,-115.42933654785156
1743546594.011227,2963456,-115.89582061767578
1743546601.466429,2983936,-117.51156616210938
1743546608.949644,3004416,-118.017333984375
1743546616.6463108,3024896,-110.3936996459961
1743546624.7274618,3045376,-102.90072631835938
1743546632.789658,3065856,-103.48629760742188
1743546640.60478,3086336,-105.872314453125
1743546648.5462139,3106816,-108.67963409423828
1743546656.1383822,3127296,-111.2222900390625
1743546664.090802,3147776,-100.2995376586914
1743546672.163925,3168256,-97.05096435546875
1743546679.778571,3188736,-101.0676040649414
1743546687.349031,3209216,-103.79450225830078
1743546695.3894029,3229696,-107.82522583007812
1743546703.101027,3250176,-107.96895599365234
1743546710.852569,3270656,-102.39260864257812
1743546718.797559,3291136,-98.71756744384766
1743546726.66253,3311616,-95.1025619506836
1743546734.649451,3332096,-92.33829498291016
1743546742.234838,3352576,-91.40323638916016
1743546749.9246788,3373056,-87.88682556152344
1743546757.511913,3393536,-91.75306701660156
1743546765.267322,3414016,-91.51187133789062
1743546772.878303,3434496,-92.5537338256836
1743546780.967407,3454976,-94.49384307861328
1743546789.195033,3475456,-97.80911254882812
1743546797.836203,3495936,-98.99457550048828
1743546805.767922,3516416,-108.33275604248047
1743546813.582665,3536896,-107.5685806274414
1743546821.826664,3557376,-112.16297912597656
1743546829.899568,3577856,-104.2125015258789
1743546838.547897,3598336,-112.00596618652344
1743546846.912193,3618816,-110.58325958251953
1743546854.822253,3639296,-116.31497955322266
1743546862.627827,3659776,-111.0445556640625
1743546870.7509272,3680256,-106.53115844726562
1743546878.517178,3700736,-108.16200256347656
1743546886.22007,3721216,-103.2222671508789
1743546893.9812212,3741696,-110.06517028808594
1743546901.708093,3762176,-110.58382415771484
1743546909.5410051,3782656,-110.3768310546875
1743546917.359798,3803136,-121.37393951416016
1743546925.172485,3823616,-127.94642639160156
1743546933.04289,3844096,-120.1830825805664
1743546940.643021,3864576,-125.11577606201172
1743546948.417452,3885056,-123.69225311279297
1743546956.193364,3905536,-123.990478515625
1743546964.008428,3926016,-131.9445037841797
1743546973.105643,3946496,-131.1679229736328
1743546982.935094,3966976,-126.34170532226562
1743546992.750047,3987456,-121.9655532836914
1743547011.082974,4022272,-109.94001007080078
1743547020.813817,4042752,-115.29598236083984
1743547030.238218,4063232,-116.92211151123047
1743547040.417515,4083712,-116.08661651611328
1743547050.071466,4104192,-112.07965850830078
1743547060.101681,4124672,-106.91203308105469
1743547069.8500428,4145152,-103.55989074707031
1743547079.735012,4165632,-100.51580047607422
1743547089.4266691,4186112,-102.36172485351562
1743547099.0362282,4206592,-102.70736694335938
1743547108.359345,4227072,-99.69769287109375
1743547117.768953,4247552,-100.2469253540039
1743547126.771934,4268032,-98.03326416015625
1743547135.982645,4288512,-94.37236785888672
1743547145.1470988,4308992,-94.93697357177734
1743547154.581163,4329472,-95.7764663696289
1743547164.3337998,4349952,-98.50892639160156
1743547173.483729,4370432,-100.58132934570312
1743547183.605825,4390912,-102.28998565673828
1743547192.3389828,4411392,-99.47221374511719
1743547201.692811,4431872,-97.06958770751953
1743547210.54771,4452352,-96.4715805053711
1743547219.926343,4472832,-98.275146484375
1743547229.387553,4493312,-98.960693359375
