V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.1,0.03,0,0,1,,,,1.0,,,
0.14,0.026,1,1,2,3,,,0.53,0.47,,
0.16,0.027,2,2,4,3,4,,0.65,0.19,0.16,
0.2,0.026,3,4,5,,,,1.0,,,
0.19,0.026,4,5,6,,,,1.0,,,
0.2,0.029,5,6,7,8,9,,0.19,0.34,0.47,
0.25,0.024,6,7,10,11,,,0.55,0.45,,
0.24,0.021,7,10,12,13,,,0.51,0.49,,
0.29,0.019,8,12,14,15,,,0.59,0.41,,
0.34,0.018,9,14,16,17,,,0.32,0.68,,
0.33,0.019,10,16,18,,,,1.0,,,
0.37,0.021,11,18,19,,,,1.0,,,
0.43,0.023,12,19,20,,,,1.0,,,
0.51,0.02,13,20,,,,,,,,
0.31,0.019,10,17,21,,,,1.0,,,
0.32,0.02,11,21,18,22,,,0.6,0.4,,
0.37,0.021,12,18,23,,,,1.0,,,
0.39,0.02,13,23,24,25,,,0.52,0.48,,
0.44,0.019,14,24,26,27,,,0.69,0.31,,
0.48,0.02,15,26,28,29,,,0.18,0.82,,
0.46,0.022,16,28,,,,,,,,
0.44,0.018,16,29,,,,,,,,
0.5,0.022,15,27,30,31,20,,0.45,0.4,0.15,
0.47,0.021,16,30,,,,,,,,
0.57,0.024,16,31,,,,,,,,
0.51,0.02,16,20,,,,,,,,
0.46,0.02,14,25,32,33,,,0.65,0.35,,
0.42,0.018,15,32,32,34,,,0.59,0.41,,
0.42,0.018,16,32,,,,,,,,
0.41,0.016,16,34,,,,,,,,
0.46,0.021,15,33,35,36,,,0.33,0.67,,
0.47,0.022,16,35,,,,,,,,
0.45,0.024,16,36,,,,,,,,
0.34,0.019,12,22,37,38,39,,0.51,0.34,0.15,
0.39,0.021,13,37,40,41,,,0.49,0.51,,
0.36,0.018,14,40,42,43,44,,0.18,0.61,0.21,
0.39,0.015,15,42,45,46,47,,0.44,0.3,0.27,
0.45,0.017,16,45,,,,,,,,
0.44,0.016,16,46,,,,,,,,
0.42,0.016,16,47,,,,,,,,
0.42,0.017,15,43,48,49,43,,0.53,0.28,0.19,
0.45,0.018,16,48,,,,,,,,
0.37,0.017,16,49,,,,,,,,
0.42,0.017,16,43,,,,,,,,
0.37,0.019,15,44,50,51,51,,0.19,0.35,0.46,
0.44,0.021,16,50,,,,,,,,
0.43,0.017,16,51,,,,,,,,
0.43,0.017,16,51,,,,,,,,
0.37,0.022,14,41,52,53,,,0.44,0.56,,
0.44,0.022,15,52,54,,,,1.0,,,
0.52,0.02,16,54,,,,,,,,
0.36,0.024,15,53,55,,,,1.0,,,
0.42,0.022,16,55,,,,,,,,
0.35,0.017,13,38,56,57,58,,0.04,0.45,0.52,
0.33,0.014,14,56,59,,,,1.0,,,
0.38,0.014,15,59,47,,,,1.0,,,
0.42,0.016,16,47,,,,,,,,
0.4,0.016,14,57,57,,,,1.0,,,
0.4,0.016,15,57,47,,,,1.0,,,
0.42,0.016,16,47,,,,,,,,
0.32,0.016,14,58,38,60,61,,0.65,0.05,0.31,
0.35,0.017,15,38,62,,,,1.0,,,
0.36,0.019,16,62,,,,,,,,
